player,rating_pool,RD_pool,vol_pool,rating_de,RD_de,vol_de,Total Pool Matches,Pool Touche Index,Total DE Matches,DE Touche Index,Pool Wins,Pool Losses,DE Wins,DE Losses
GODBOUT JOSEPH ANTHONY,1535.903017571659,105.44580604138925,0.05998599902980748,1545.563268419369,164.96811809972942,0.0599931761232965,14.0,0.35714285714285715,5.0,1.4,8.0,6.0,2.0,3.0
GONZALES TIMOTHY DALE,1668.6703812449243,84.67696528567602,0.05997133839409354,1621.868089274719,98.48685854744569,0.05997682336441194,25.0,2.32,15.0,1.7333333333333334,22.0,3.0,10.0,5.0
GRAHAM CHRISTOPHER FRANCIS,1422.7153314470183,83.23436864976719,0.05996545874656568,1397.6484082104632,161.02949665699128,0.05999094016590562,25.0,-1.16,6.0,-3.6666666666666665,8.0,17.0,1.0,5.0
GUINTO YLLAC JAVIER,1579.2319164277808,94.73722943344868,0.05998489533582895,1544.7748889109225,118.09722435106431,0.059985004231015826,17.0,0.9411764705882353,11.0,0.2727272727272727,10.0,7.0,7.0,4.0
GUTIERREZ RONAN PAOLO,1241.7482858136432,154.19328707819923,0.059999129034033684,,,,5.0,-4.2,0.0,,0.0,5.0,,
HO CALIX ANDREAS,1661.5385541223347,88.20824982236171,0.059972949569929046,1536.4108970930752,119.94589606432297,0.05998419932037512,23.0,2.130434782608696,11.0,1.3636363636363635,20.0,3.0,6.0,5.0
ICASIANO AURELIO,1388.5280549132606,96.07961206031918,0.05998177943776744,1431.964549055669,275.3811504643846,0.05999885788571392,20.0,-1.7,1.0,-6.0,5.0,15.0,0.0,1.0
IGARES DUSTIN,1544.4224560589732,92.00613811199858,0.05998941122177128,1436.3858270296375,156.36494527533375,0.059991611914372425,19.0,0.10526315789473684,6.0,-1.5,11.0,8.0,2.0,4.0
JACINTO LUCAS,1486.8213924954177,127.27914571919646,0.05999236412960313,1420.189297253712,238.29305147280397,0.05999765767407106,10.0,0.1,2.0,-5.0,5.0,5.0,0.0,2.0
JOSE NOELITO JR.,1792.6816128492665,108.2088498944171,0.05998643489891579,1775.3504251203744,92.66846015470534,0.05997880094584714,20.0,3.85,20.0,7.85,20.0,0.0,19.0,1.0
LARGO ZEBASTIAN ISAIAH,1515.4831689101798,130.22178035653104,0.059991670523563766,1411.5408633223117,195.34008804315278,0.059996117532978274,10.0,0.4,4.0,-3.25,6.0,4.0,2.0,2.0
LAURON SEAN PATRICK,1668.4794309208492,91.50384915119808,0.05997926495684566,1666.5846642738586,91.54982866912142,0.05997333596240043,25.0,2.44,19.0,3.6842105263157894,23.0,2.0,14.0,5.0
MALINAO JOHN AGASTI,1563.3883929731317,82.86178574058707,0.05997400748570537,1539.1609285947206,110.22221430133672,0.05998136865022016,24.0,0.9583333333333334,13.0,0.23076923076923078,15.0,9.0,8.0,5.0
MALVAR LORENZO MIGUEL,1593.1833411084997,94.6271732444102,0.059977963706419044,1477.7708661876948,142.2920110535985,0.059989931214038686,19.0,1.0,8.0,-0.75,12.0,7.0,4.0,4.0
MAMURIC II JOSE ROBERTO S.,1387.2371672657862,154.5857730295601,0.05999766962578668,,,,5.0,-2.0,0.0,,2.0,3.0,,
MAMURIC JOSE SR,1235.271882988391,114.6969143345935,0.05998902787144367,1449.8809275166861,266.9022848386335,0.05999867592420366,15.0,-3.1333333333333333,1.0,-3.0,0.0,15.0,0.0,1.0
